Total lanes,Express lanes,Bagging,Average interval,,,,,,
12,0,Employee,15,,,,,,
Simulation Time,Idle Time,Busy Time,Busy Based on Service,Maximum Queue Length,Avg. Queue Length,Maximum Waiting Time,Avg. Waiting Time,Avg. Service Time,Shopper Count
10017,2276,7741,75810,1,0.506039732,454,139.038961,196.9090909,385
10007,1344,8663,105375,3,0.712401319,812,189.1919561,192.6416819,547
10003,160,9824,117570,62,30.45606318,5784,2651.600329,193.3717105,608
10010,141,9869,117475,62,30.47202797,5953,2725.430213,192.8981938,609
10008,214,9794,117095,20,8.799960032,3058,1240.667769,193.5454545,605
10033,1902,8098,87350,2,0.543905113,460,152.0744186,203.1395349,430
10010,272,9673,116165,20,10.11798202,3436,1517.33959,198.2337884,586
10005,1046,8951,112485,3,0.862968516,775,228.6254355,195.966899,574
10013,1825,8188,87470,1,0.533606312,493,156.0252874,201.0804598,435
10006,77,9929,117665,172,86.48770738,8015,3738.512479,195.78203,601
10006,1429,8577,110045,2,0.660503698,863,197.3832117,200.8120438,548
10001,2270,7721,72915,1,0.515248475,455,146.1791444,194.959893,374
10025,1241,8750,106170,2,0.640498753,674,174.1813187,194.4505495,546
10002,148,9846,117605,64,32.12457508,5916,2837.071906,196.6638796,598
10004,2103,7891,68885,1,0.506097561,464,136.4128686,184.6782842,373
10007,247,9760,116510,20,10.38023384,3314,1547.844444,199.1623932,585
10014,297,9717,115965,8,4.11753545,1745,801.0699301,202.736014,572
10004,1467,8533,105615,2,0.694522191,660,181.6192237,195.2218115,541
10009,2087,7913,84155,2,0.540713358,484,149.6180556,194.8032407,432
10006,75,9920,117980,178,89.13391965,7908,3984.342954,200.3056027,589
10005,234,9771,116850,19,9.541829085,3366,1416.351882,191.2438625,611
10005,1321,8684,107125,2,0.615192404,649,176.5100182,195.1275046,549
10008,148,9837,117765,59,29.27597922,5984,2704.826014,198.9273649,592
10005,1809,8169,88310,2,0.512343828,495,150.7094595,198.8963964,444
10001,189,9812,117320,69,34.26407359,6168,2951.541367,211.0071942,556
10004,171,9818,117025,63,32.24730108,6181,2805.585977,195.3672788,599
10002,86,9896,118050,171,85.72085583,7968,3795.780405,199.4087838,592
10029,2226,7745,67280,1,0.486888025,476,137.8347107,185.3443526,363
10008,1706,8302,85655,2,0.554456435,635,156.1034483,196.908046,435
10025,2158,7834,85075,1,0.533665835,465,153.8383372,196.47806,433
10001,168,9829,117425,59,29.63363664,5829,2701.784014,199.702381,588
10010,2071,7889,74625,1,0.517582418,453,148.7936508,197.4206349,378
10010,328,9657,116270,11,5.228471528,2299,967.9677419,208.3691756,558
10006,239,9767,116470,23,11.74405357,3619,1686.931208,195.4194631,596
10001,156,9825,117705,65,31.72552745,5893,2728.942053,194.8758278,604
10007,2133,7874,82210,1,0.501448986,487,146.6635945,189.4239631,434
10001,299,9702,116250,8,3.651634837,1843,686.3785595,194.7236181,597
10003,1770,8233,87560,2,0.55503349,605,159.7899543,199.9086758,438
10002,135,9867,117760,63,30.88012398,6084,2682.928333,196.2666667,600
10004,1271,8733,106535,3,0.75229908,667,207.3533835,200.2537594,532
10005,2314,7665,71555,1,0.531634183,494,141.1328125,186.3411458,384
