Total lanes,Express lanes,Bagging,Average interval,,,,,,
10,0,Shopper,30,,,,,,
Simulation Time,Idle Time,Busy Time,Busy Based on Service,Maximum Queue Length,Avg. Queue Length,Maximum Waiting Time,Avg. Waiting Time,Avg. Service Time,Shopper Count
10008,262,9746,96210,41,19.77897682,6449,2832.528517,365.8174905,263
10007,2050,7919,63216,1,0.46887179,867,248.372973,341.7081081,185
10003,151,9829,115785,85,42.35509347,7551,3734.41411,355.1687117,326
10007,415,9557,124407,24,11.28929749,4871,2194.333333,354.4358974,351
10009,2003,7987,90666,1,0.483464882,858,270.2653846,348.7153846,260
10076,2124,7952,77418,1,0.493052799,894,264.0863636,351.9,220
10016,447,9542,152415,16,7.984824281,4646,1931.771028,356.1098131,428
10009,1997,7952,89604,1,0.500249775,798,266.2384615,344.6307692,260
10011,3095,6904,109269,1,0.503146539,859,268.8924051,345.7879747,316
10003,1958,8020,134838,1,0.514545636,845,275.5919395,339.6423174,397
10004,299,9691,193140,40,20.35705718,6707,3033.817185,353.0895795,547
10001,2124,7845,88524,1,0.535346465,852,253.2359551,331.5505618,267
10020,1978,8020,135378,1,0.554391218,849,287.0328283,341.8636364,396
10017,2453,7522,85779,1,0.464410502,828,260.4342629,341.749004,251
10018,1832,8186,74997,1,0.528648433,840,253.7647059,339.3529412,221
10011,1736,8275,143487,1,0.544900609,883,288.8502415,346.5869565,414
10011,1867,8128,95103,1,0.514534013,863,260.9895833,330.21875,288
10008,1571,8437,206370,2,0.561051159,877,289.7512116,333.3925687,619
10012,1243,8769,228825,2,0.56971634,898,296.4719272,347.2306525,659
10001,2103,7898,146691,1,0.534746525,880,291.6407767,356.0461165,412
10005,3060,6945,64953,1,0.488755622,799,259.7348066,358.8563536,181
10006,1909,8071,75609,1,0.503597841,875,263.5727273,343.6772727,220
9965,2006,8000,115389,1,0.498544907,824,265.5889213,336.4110787,343
10001,3020,6981,64233,1,0.563843616,865,246.5103093,331.0979381,194
10010,2268,7742,96264,1,0.534365634,796,275.9926471,353.9117647,272
10010,1921,8026,144288,1,0.545254745,876,280.9739336,341.9146919,422
10005,1695,8310,235008,1,0.572513743,899,303.7316342,352.3358321,667
10025,2144,7854,145404,1,0.558104738,863,281.5778302,342.9339623,424
10031,1923,8070,92727,1,0.508523577,884,274.4431818,351.2386364,264
10028,1914,8082,149562,1,0.513761468,852,288.8207547,352.740566,424
10001,1908,8093,234747,1,0.550244976,895,312.66875,366.7921875,640
10003,619,9376,382194,6,2.965610317,2500,1011.558011,351.9281768,1086
10003,2250,7753,102600,1,0.540337899,898,282.254417,362.5441696,283
10010,1980,8030,148680,1,0.538061938,868,292.811138,360,413
10001,2101,7899,142560,1,0.531746825,869,282.0784314,349.4117647,408
10003,1752,8227,229689,1,0.571828451,873,293.6362253,349.6027397,657
10023,2032,7991,76257,1,0.49715654,812,247.4444444,338.92,225
10004,2285,7719,78291,1,0.49860056,861,265.7727273,355.8681818,220
10009,1614,8395,230994,1,0.566490159,882,302.9555215,354.2852761,652
10001,1811,8190,233703,1,0.556744326,899,301.4479167,347.7723214,672
10009,2065,7944,133533,1,0.561394745,866,286.1286089,350.480315,381
10021,2071,7950,151263,1,0.531483884,844,299.5463183,359.2945368,421
10008,1844,8153,95463,1,0.533473221,856,274.1003717,354.8810409,269
10006,1680,8326,220860,1,0.540675595,876,301.2241653,351.1287758,629
9983,1882,8137,87327,1,0.523389763,859,262.9038462,335.8730769,260
10003,1941,8062,71442,1,0.498550435,865,264.9303483,355.4328358,201
10008,1848,8160,150687,1,0.532673861,886,292.973747,359.6348449,419
10011,1908,8092,94878,1,0.499051044,827,270.0107914,341.2877698,278
10006,2036,7970,94140,1,0.539776134,821,272.8185185,348.6666667,270
9990,2403,7600,113976,1,0.53033033,847,270.8746177,348.5504587,327
